=== WEEKLY PERFORMANCE REPORT ===
Generated on: 10-Jul-2026 12:25:04
Total Signals Logs Processed: 606

Tier 1 (High Volatility Moves >= 5%): 600 signals
Tier 2 (Moderate Volatility 2%-5%): 0 signals
Tier 3 (Low Volatility < 2%): 6 signals

= STRATEGY LOG DETAILS =
          Timestamp        Ticker           Strategy    Live_Price  Move_Pct
2026-07-10 12:23:59 BAJAJFINSV.NS          KNOXVILLE   1916.000000      0.21
2026-07-10 12:23:59         LT.NS V20_Range_Breakout   3945.800000     22.50
2026-07-10 12:23:59     JIOFIN.NS V20_Range_Breakout    241.960000     27.62
2026-07-10 12:23:59 ULTRACEMCO.NS V20_Range_Breakout  11711.000000     22.50
2026-07-10 12:23:59 HINDUNILVR.NS V20_Range_Breakout   2150.600000     22.50
2026-07-10 12:23:59 APOLLOHOSP.NS V20_Range_Breakout   8841.000000     22.50
2026-07-10 12:23:59   INDHOTEL.NS V20_Range_Breakout    752.300000     22.50
2026-07-10 12:23:59 KAJARIACER.NS V20_Range_Breakout   1218.000000     24.59
2026-07-10 12:23:59 BAJAJ-AUTO.NS V20_Range_Breakout  10156.000000     22.50
2026-07-10 12:23:59   GODREJCP.NS V20_Range_Breakout   1088.400000     22.50
2026-07-10 12:23:59   HDFCLIFE.NS V20_Range_Breakout    567.700000     22.50
2026-07-10 12:23:59      CIPLA.NS V20_Range_Breakout   1439.400000     22.50
2026-07-10 12:23:59   ASTRAZEN.NS V20_Range_Breakout   8117.500000     28.30
2026-07-10 12:23:59  TEAMLEASE.NS V20_Range_Breakout   1377.400000     21.84
2026-07-10 12:23:59 LALPATHLAB.NS V20_Range_Breakout   1692.800000     22.50
2026-07-10 12:23:59     VOLTAS.NS V20_Range_Breakout   1286.700000     23.93
2026-07-10 12:23:59 ASIANPAINT.NS V20_Range_Breakout   2677.800000     22.50
2026-07-10 12:23:59        MRF.NS V20_Range_Breakout 134425.000000     22.50
2026-07-10 12:23:59     HONAUT.NS V20_Range_Breakout  38175.000000     28.07
2026-07-10 12:23:59        M&M.NS V20_Range_Breakout   3129.400000     22.50
2026-07-10 12:23:59       INFY.NS V20_Range_Breakout   1068.000000     22.50
2026-07-10 12:23:59        AWL.NS V20_Range_Breakout    190.000000     22.50
2026-07-10 12:23:59     FORTIS.NS V20_Range_Breakout    968.000000     22.50
2026-07-10 12:23:59  NESTLEIND.NS V20_Range_Breakout   1455.200000     22.50
2026-07-10 12:23:59 ABBOTINDIA.NS V20_Range_Breakout  27165.000000     22.50
2026-07-10 12:23:59   UNITDSPR.NS V20_Range_Breakout   1385.700000     22.50
2026-07-10 12:23:59        UBL.NS V20_Range_Breakout   1329.300000     22.50
2026-07-10 12:23:59      GLAXO.NS V20_Range_Breakout   2438.200000     39.48
2026-07-10 12:23:59     PFIZER.NS V20_Range_Breakout   4731.400000     32.97
2026-07-10 12:23:59       CAMS.NS V20_Range_Breakout    790.500000     20.05
2026-07-10 12:23:59   AXISBANK.NS V20_Range_Breakout   1323.700000     22.50
2026-07-10 12:23:59  EICHERMOT.NS V20_Range_Breakout   7365.500000     22.50
2026-07-10 12:23:59 ADANIPORTS.NS V20_Range_Breakout   1828.100000     22.50
2026-07-10 12:23:59     SANOFI.NS V20_Range_Breakout   3401.900000     78.61
2026-07-10 12:23:59   JSWINFRA.NS V20_Range_Breakout    330.050000     22.50
2026-07-10 12:23:59        ACC.NS V20_Range_Breakout   1384.500000     22.50
2026-07-10 12:23:59   HDFCBANK.NS V20_Range_Breakout    824.950000     22.50
2026-07-10 12:23:59  NAM-INDIA.NS V20_Range_Breakout   1212.700000     21.23
2026-07-10 12:23:59 ICICIPRULI.NS V20_Range_Breakout    510.350000     22.50
2026-07-10 12:23:59     COLPAL.NS V20_Range_Breakout   2052.400000     22.50
2026-07-10 12:23:59   RELIANCE.NS V20_Range_Breakout   1307.800000     22.50
2026-07-10 12:23:59      QUESS.NS V20_Range_Breakout    288.150000     25.73
2026-07-10 12:23:59 BLUESTARCO.NS V20_Range_Breakout   1662.000000     21.47
2026-07-10 12:23:59    MEDANTA.NS V20_Range_Breakout   1336.900000     24.75
2026-07-10 12:23:59     MARICO.NS V20_Range_Breakout    852.500000     22.50
2026-07-10 12:23:59    PAGEIND.NS V20_Range_Breakout  39395.000000     22.50
2026-07-10 12:23:59       SBIN.NS V20_Range_Breakout   1036.000000     22.50
2026-07-10 12:23:59        VBL.NS V20_Range_Breakout    478.100000     20.36
2026-07-10 12:23:59   ANGELONE.NS V20_Range_Breakout    346.050000     24.40
2026-07-10 12:23:59     RADICO.NS V20_Range_Breakout   4073.700000     24.17
2026-07-10 12:23:59 BAJFINANCE.NS V20_Range_Breakout   1020.500000     22.50
2026-07-10 12:23:59        MCX.NS V20_Range_Breakout   2770.700000     31.38
2026-07-10 12:23:59      DIXON.NS V20_Range_Breakout  13421.000000     31.93
2026-07-10 12:23:59    HAVELLS.NS V20_Range_Breakout   1188.400000     20.46
2026-07-10 12:23:59  KOTAKBANK.NS V20_Range_Breakout    377.600000     22.50
2026-07-10 12:23:59      DMART.NS V20_Range_Breakout   4081.100000     23.81
2026-07-10 12:23:59    HYUNDAI.NS V20_Range_Breakout   1984.900000     22.50
2026-07-10 12:23:59    ICICIGI.NS V20_Range_Breakout   1826.200000     22.50
2026-07-10 12:23:59      TITAN.NS V20_Range_Breakout   4584.400000     22.50
