=== WEEKLY PERFORMANCE REPORT ===
Generated on: 14-Aug-2026 10:57:21
Total Signals Logs Processed: 750

Tier 1 (High Volatility Moves >= 5%): 750 signals
Tier 2 (Moderate Volatility 2%-5%): 0 signals
Tier 3 (Low Volatility < 2%): 0 signals

= STRATEGY LOG DETAILS =
          Timestamp        Ticker           Strategy  Live_Price  Move_Pct
2026-08-14 10:56:02   GILLETTE.NS V20_Range_Breakout     7600.00     21.07
2026-08-14 10:56:02     COLPAL.NS V20_Range_Breakout     1981.00     22.50
2026-08-14 10:56:02         LT.NS V20_Range_Breakout     4057.00     22.50
2026-08-14 10:56:02     MARICO.NS V20_Range_Breakout      865.20     22.50
2026-08-14 10:56:02       CAMS.NS V20_Range_Breakout      762.25     20.05
2026-08-14 10:56:02 ABBOTINDIA.NS V20_Range_Breakout    27060.00     22.50
2026-08-14 10:56:02     FORTIS.NS V20_Range_Breakout      929.00     22.50
2026-08-14 10:56:02        M&M.NS V20_Range_Breakout     3428.30     22.50
2026-08-14 10:56:02      CIPLA.NS V20_Range_Breakout     1450.00     22.50
2026-08-14 10:56:02  BATAINDIA.NS V20_Range_Breakout      755.70     22.50
2026-08-14 10:56:02        TCS.NS V20_Range_Breakout     2361.00     22.50
2026-08-14 10:56:02 ASIANPAINT.NS V20_Range_Breakout     2696.30     22.50
2026-08-14 10:56:02     SANOFI.NS V20_Range_Breakout     3242.90     78.61
2026-08-14 10:56:02        ACC.NS V20_Range_Breakout     1321.40     22.50
2026-08-14 10:56:02 BAJAJFINSV.NS V20_Range_Breakout     2008.30     22.50
2026-08-14 10:56:02        AWL.NS V20_Range_Breakout      192.16     22.50
2026-08-14 10:56:02 KAJARIACER.NS V20_Range_Breakout     1253.40     24.59
2026-08-14 10:56:02    HYUNDAI.NS V20_Range_Breakout     2199.00     22.50
2026-08-14 10:56:02  TEAMLEASE.NS V20_Range_Breakout     1255.00     21.84
2026-08-14 10:56:02 ADANIPORTS.NS V20_Range_Breakout     1700.00     22.50
2026-08-14 10:56:02        UBL.NS V20_Range_Breakout     1376.60     22.50
2026-08-14 10:56:02      GLAXO.NS V20_Range_Breakout     2688.80     39.48
2026-08-14 10:56:02      DIXON.NS V20_Range_Breakout    14130.00     31.93
2026-08-14 10:56:02       ERIS.NS V20_Range_Breakout     1358.50     27.33
2026-08-14 10:56:02    ICICIGI.NS V20_Range_Breakout     1630.00     22.50
2026-08-14 10:56:02     JIOFIN.NS V20_Range_Breakout      249.05     27.62
2026-08-14 10:56:02     RELAXO.NS V20_Range_Breakout      396.25     20.97
2026-08-14 10:56:02       PGHH.NS V20_Range_Breakout     8426.50     22.50
2026-08-14 10:56:02   UNITDSPR.NS V20_Range_Breakout     1536.00     22.50
2026-08-14 10:56:02   INDHOTEL.NS V20_Range_Breakout      720.00     22.50
2026-08-14 10:56:02        VBL.NS V20_Range_Breakout      435.00     20.36
2026-08-14 10:56:02    HCLTECH.NS V20_Range_Breakout     1360.00     22.50
2026-08-14 10:56:02        MCX.NS V20_Range_Breakout     2911.50     31.38
2026-08-14 10:56:02  NESTLEIND.NS V20_Range_Breakout     1499.10     22.50
2026-08-14 10:56:02        ITC.NS V20_Range_Breakout      278.20     22.50
2026-08-14 10:56:02 ULTRACEMCO.NS V20_Range_Breakout    11619.00     22.50
2026-08-14 10:56:02 LALPATHLAB.NS V20_Range_Breakout     1916.30     22.50
2026-08-14 10:56:02   JSWINFRA.NS V20_Range_Breakout      339.15     22.50
2026-08-14 10:56:02   GODREJCP.NS V20_Range_Breakout      934.30     22.50
2026-08-14 10:56:02 BLUESTARCO.NS V20_Range_Breakout     1508.00     21.47
2026-08-14 10:56:02      DABUR.NS V20_Range_Breakout      405.25     22.50
2026-08-14 10:56:02   BOSCHLTD.NS V20_Range_Breakout    47100.00     29.36
2026-08-14 10:56:02 ICICIPRULI.NS V20_Range_Breakout      509.15     22.50
2026-08-14 10:56:02       INFY.NS V20_Range_Breakout     1169.20     22.50
2026-08-14 10:56:02   AXISBANK.NS V20_Range_Breakout     1217.40     22.50
2026-08-14 10:56:02     MARUTI.NS V20_Range_Breakout    13834.00     22.50
2026-08-14 10:56:02       CDSL.NS V20_Range_Breakout     1344.40     22.50
2026-08-14 10:56:02 BAJAJ-AUTO.NS V20_Range_Breakout    11700.00     22.50
2026-08-14 10:56:02     HONAUT.NS V20_Range_Breakout    37205.00     28.07
2026-08-14 10:56:02      DMART.NS V20_Range_Breakout     4060.00     23.81
2026-08-14 10:56:02    HDFCAMC.NS V20_Range_Breakout     2485.00     22.50
2026-08-14 10:56:02    PAGEIND.NS V20_Range_Breakout    36750.00     22.50
2026-08-14 10:56:02   ASTRAZEN.NS V20_Range_Breakout     7753.00     28.30
2026-08-14 10:56:02    HAVELLS.NS V20_Range_Breakout     1298.00     20.46
2026-08-14 10:56:02 PIDILITIND.NS V20_Range_Breakout     1693.00     22.50
2026-08-14 10:56:02   HDFCBANK.NS V20_Range_Breakout      727.00     22.50
2026-08-14 10:56:02       SBIN.NS V20_Range_Breakout     1067.70     22.50
2026-08-14 10:56:02 APOLLOHOSP.NS V20_Range_Breakout     8920.50     22.50
2026-08-14 10:56:02 BAJFINANCE.NS V20_Range_Breakout     1087.00     22.50
2026-08-14 10:56:02  KOTAKBANK.NS V20_Range_Breakout      391.15     22.50
2026-08-14 10:56:02  ICICIBANK.NS V20_Range_Breakout     1417.00     22.50
2026-08-14 10:56:02   ANGELONE.NS V20_Range_Breakout      287.30     24.40
2026-08-14 10:56:02      QUESS.NS V20_Range_Breakout      337.80     25.73
2026-08-14 10:56:02 HINDUNILVR.NS V20_Range_Breakout     2077.00     22.50
2026-08-14 10:56:02        BSE.NS V20_Range_Breakout     3447.00     22.04
2026-08-14 10:56:02     PFIZER.NS V20_Range_Breakout     4874.80     32.97
2026-08-14 10:56:02      TITAN.NS V20_Range_Breakout     5056.20     22.50
2026-08-14 10:56:02   HDFCLIFE.NS V20_Range_Breakout      535.85     22.50
2026-08-14 10:56:02  NAM-INDIA.NS V20_Range_Breakout     1167.90     21.23
2026-08-14 10:56:02  EICHERMOT.NS V20_Range_Breakout     8066.50     22.50
2026-08-14 10:56:02     RADICO.NS V20_Range_Breakout     4650.00     24.17
2026-08-14 10:56:02        MRF.NS V20_Range_Breakout   133490.00     22.50
2026-08-14 10:56:02     VOLTAS.NS V20_Range_Breakout     1320.50     23.93
2026-08-14 10:56:02   RELIANCE.NS V20_Range_Breakout     1310.00     22.50
2026-08-14 10:56:02    MEDANTA.NS V20_Range_Breakout     1422.60     24.75
2026-08-14 07:20:27        BSE.NS V20_Range_Breakout     3446.90     22.04
2026-08-14 07:20:27     SANOFI.NS V20_Range_Breakout     3246.00     78.61
2026-08-14 07:20:27        MCX.NS V20_Range_Breakout     2946.80     31.38
2026-08-14 07:20:27 KAJARIACER.NS V20_Range_Breakout     1246.10     24.59
2026-08-14 07:20:27      DIXON.NS V20_Range_Breakout    14112.00     31.93
2026-08-14 07:20:27    HDFCAMC.NS V20_Range_Breakout     2472.00     22.50
2026-08-14 07:20:27 HINDUNILVR.NS V20_Range_Breakout     2078.00     22.50
2026-08-14 07:20:27         LT.NS V20_Range_Breakout     4054.00     22.50
2026-08-14 07:20:27      DABUR.NS V20_Range_Breakout      410.00     22.50
2026-08-14 07:20:27       INFY.NS V20_Range_Breakout     1170.10     22.50
2026-08-14 07:20:27      CIPLA.NS V20_Range_Breakout     1457.70     22.50
2026-08-14 07:20:27  BATAINDIA.NS V20_Range_Breakout      758.60     22.50
2026-08-14 07:20:27      GLAXO.NS V20_Range_Breakout     2680.00     39.48
2026-08-14 07:20:27 BAJAJ-AUTO.NS V20_Range_Breakout    11760.00     22.50
2026-08-14 07:20:27   GODREJCP.NS V20_Range_Breakout      936.30     22.50
2026-08-14 07:20:27 APOLLOHOSP.NS V20_Range_Breakout     8861.00     22.50
2026-08-14 07:20:27   GILLETTE.NS V20_Range_Breakout     7654.50     21.07
2026-08-14 07:20:27   JSWINFRA.NS V20_Range_Breakout      338.80     22.50
2026-08-14 07:20:27 BAJFINANCE.NS V20_Range_Breakout     1088.90     22.50
2026-08-14 07:20:27     FORTIS.NS V20_Range_Breakout      913.80     22.50
2026-08-14 07:20:27   RELIANCE.NS V20_Range_Breakout     1305.40     22.50
2026-08-14 07:20:27   INDHOTEL.NS V20_Range_Breakout      718.05     22.50
2026-08-14 07:20:27     HONAUT.NS V20_Range_Breakout    37150.00     28.07
2026-08-14 07:20:27     MARUTI.NS V20_Range_Breakout    13909.00     22.50
2026-08-14 07:20:27        M&M.NS V20_Range_Breakout     3414.80     22.50
2026-08-14 07:20:27 ASIANPAINT.NS V20_Range_Breakout     2693.40     22.50
2026-08-14 07:20:27       ERIS.NS V20_Range_Breakout     1360.90     27.33
2026-08-14 07:20:27       CDSL.NS V20_Range_Breakout     1343.50     22.50
2026-08-14 07:20:27  ICICIBANK.NS V20_Range_Breakout     1407.00     22.50
2026-08-14 07:20:27     COLPAL.NS V20_Range_Breakout     1977.50     22.50
2026-08-14 07:20:27        MRF.NS V20_Range_Breakout   132000.00     22.50
2026-08-14 07:20:27  TEAMLEASE.NS V20_Range_Breakout     1260.70     21.84
2026-08-14 07:20:27      DMART.NS V20_Range_Breakout     4069.50     23.81
2026-08-14 07:20:27  NAM-INDIA.NS V20_Range_Breakout     1163.90     21.23
2026-08-14 07:20:27     MARICO.NS V20_Range_Breakout      863.50     22.50
2026-08-14 07:20:27   BOSCHLTD.NS V20_Range_Breakout    47010.00     29.36
2026-08-14 07:20:27      QUESS.NS V20_Range_Breakout      329.15     25.73
2026-08-14 07:20:27       PGHH.NS V20_Range_Breakout     8480.00     22.50
2026-08-14 07:20:27    HYUNDAI.NS V20_Range_Breakout     2203.70     22.50
2026-08-14 07:20:27        VBL.NS V20_Range_Breakout      433.80     20.36
2026-08-14 07:20:27     VOLTAS.NS V20_Range_Breakout     1329.00     23.93
2026-08-14 07:20:27     RADICO.NS V20_Range_Breakout     4632.40     24.17
2026-08-14 07:20:27 ADANIPORTS.NS V20_Range_Breakout     1684.60     22.50
2026-08-14 07:20:27  NESTLEIND.NS V20_Range_Breakout     1512.20     22.50
2026-08-14 07:20:27 ICICIPRULI.NS V20_Range_Breakout      511.00     22.50
2026-08-14 07:20:27    ICICIGI.NS V20_Range_Breakout     1627.50     22.50
